Designator,Mid X,Mid Y,Rotation,Layer
A1,157.67,-68.39,180.0,top
B1,146.24,-68.39,180.0,top
C1,169.1,-68.39,0.0,top
C10,133.46,-81.42,180.0,top
C13,180.45,-109.03,0.0,top
C5,180.45,-96.33,180.0,top
C6,163.94,-98.87,180.0,top
C7,180.47,-89.98,0.0,top
C8,163.94,-105.22,180.0,top
C9,133.62,-94.12,0.0,top
D1,133.54,-89.04,0.0,top
D2,133.54,-85.63,0.0,top
J1,155.892,-113.856,0.0,top
J10,159.702,-113.856,0.0,top
J11,193.23,-76.01,0.0,top
J12,152.082,-113.856,0.0,top
J13,148.018,-113.856,0.0,top
J14,167.322,-113.856,0.0,top
J15,193.23,-72.2,0.0,top
J16,193.23,-83.63,90.0,top
J17,193.23,-105.22,0.0,top
J2,193.23,-98.87,0.0,top
J3,193.23,-95.06,0.0,top
J4,193.23,-91.25,0.0,top
J5,193.23,-87.44,0.0,top
J6,193.23,-79.82,0.0,top
J7,101.79,-87.44,0.0,top
J8,163.512,-113.856,0.0,top
J9,171.132,-113.856,0.0,top
R1,147.51,-76.01,0.0,top
R10,180.53,-83.63,180.0,top
R11,180.53,-100.14,0.0,top
R12,180.53,-102.68,0.0,top
R13,180.53,-105.22,0.0,top
R14,133.54,-72.2,180.0,top
R15,133.54,-74.74,0.0,top
R16,133.54,-69.66,0.0,top
R17,133.54,-114.11,0.0,top
R18,180.53,-65.85,180.0,top
R19,147.51,-102.68,0.0,top
R2,147.51,-79.82,0.0,top
R20,147.51,-98.87,0.0,top
R21,147.51,-95.06,180.0,top
R22,147.51,-91.25,0.0,top
R23,147.51,-83.63,0.0,top
R24,147.51,-87.44,0.0,top
R25,133.54,-98.87,180.0,top
R26,133.54,-101.41,0.0,top
R27,133.54,-77.28,0.0,top
R28,133.54,-109.03,0.0,top
R29,147.51,-106.49,0.0,top
R3,180.53,-86.17,0.0,top
R31,133.54,-111.57,180.0,top
R32,133.54,-103.95,180.0,top
R33,133.54,-106.49,180.0,top
R4,180.53,-68.39,0.0,top
R5,180.53,-70.93,0.0,top
R6,180.53,-73.47,0.0,top
R7,180.53,-76.01,0.0,top
R8,180.53,-78.55,0.0,top
R9,180.53,-81.09,0.0,top
U1,164.02,-84.9,0.0,top
U2,117.03,-86.17,0.0,top
U3,117.03,-105.22,180.0,top
ZD1,117.03,-70.93,0.0,top
